model,method,case_id,difficulty,safety,exec_error,ex_corrected,category
doubao-seed-2-0-mini,cot,L1-001,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-002,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-003,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-004,L1_simple,passed,,0,result_mismatch
doubao-seed-2-0-mini,cot,L1-005,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-006,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-007,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-008,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-009,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-010,L1_simple,passed,,0,result_mismatch
doubao-seed-2-0-mini,cot,L1-011,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-012,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-013,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-014,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-015,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-016,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-017,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-018,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-019,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-020,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-021,L1_simple,passed,,0,result_mismatch
doubao-seed-2-0-mini,cot,L1-022,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-023,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-024,L1_simple,passed,,0,result_mismatch
doubao-seed-2-0-mini,cot,L1-025,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-026,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-027,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-028,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-029,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-030,L1_simple,passed,,0,result_mismatch
doubao-seed-2-0-mini,cot,L1-031,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-032,L1_simple,passed,,0,result_mismatch
doubao-seed-2-0-mini,cot,L1-033,L1_simple,passed,,1,correct
doubao-seed-2-0-mini,cot,L1-034,L1_simple,passed,,1,correct
